"name","valueType","entityType","mimeType","unit","occurrenceGroup","repeatable","categories"
"patient-id","text","Sample",,,,"false",""
"entnahmedatum","text","Sample",,,,"false",""
"probentyp","text","Sample",,,,"false",""
"probentyp_sprec","text","Sample",,,,"false",""
"probentyp_cxx","text","Sample",,,,"false",""
"status","text","Sample",,,,"false",""
"projektbezeichnung","text","Sample",,,,"false",""
"probenmenge","text","Sample",,,,"false",""
"einheit","text","Sample",,,,"false",""
"aliquot","text","Sample",,,,"false",""
