"name","valueType","entityType","mimeType","unit","occurrenceGroup","repeatable","categories"
"diagnosis-id","text","SystemTherapy",,,"system-therapy","true",""
"patient-id","text","SystemTherapy",,,"system-therapy","true",""
"systemische_therapie_stellung_zu_op_therapie","text","SystemTherapy",,,"system-therapy","true",""
"intention_chemotherapie","text","SystemTherapy",,,"system-therapy","true",""
"therapieart","text","SystemTherapy",,,"system-therapy","true",""
"systemische_therapie_beginn","text","SystemTherapy",,,"system-therapy","true",""
"systemische_therapie_ende","text","SystemTherapy",,,"system-therapy","true",""
"systemische_therapie_protokoll","text","SystemTherapy",,,"system-therapy","true",""
"systemische_therapie_substanzen","text","SystemTherapy",,,"system-therapy","true",""
"chemotherapie","text","SystemTherapy",,,"system-therapy","true",""
"hormontherapie","text","SystemTherapy",,,"system-therapy","true",""
"immuntherapie","text","SystemTherapy",,,"system-therapy","true",""
"knochenmarktransplantation","text","SystemTherapy",,,"system-therapy","true",""
"abwartende_strategie","text","SystemTherapy",,,"system-therapy","true",""
