PrimaryICDCode;SecondaryICDCode;HIVCode;HIVAssociation;HIVDiseaseClass;HIVDisease;HIVDiseaseGerman
B22;;B22;AIDS defining;HIV proprietary;Wasting syndrome;Wasting-Syndrom
B23.0;;B23.0;HIV associated;HIV proprietary;Acute HIV infection syndrome;Akutes HIV-Infektionssyndrom
B23.8;;B23.8;HIV associated;HIV proprietary;Persistent generalized Lymphadenopathy due to HIV disease;Persistierende generalisierte Lymphadenopathie infolge HIV-Krankheit
O98.7;;O98.7;HIV associated;HIV proprietary;HIV disease complicating pregnancy, childbirth and the puerperium;HIV-Krankheit, die Schwangerschaft, Geburt und Wochenbett kompliziert
B20;D63.8*;B20;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B21;D63.0*;B21;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B21;D63.8*;B21;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B22;D63.8*;B22;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B23.8;D63.8*;B23.8;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B24;D63.8*;B24;HIV associated;HIV proprietary;HIV associated anemia;HIV-assoziierte Anämie
B20;G99.2*;B20;HIV associated;HIV proprietary;HIV associated myelopathy;HIV-assoziierte Myelopathie
B20;N08.0*;B20;HIV associated;HIV proprietary;HIV associated nephropathy;HIV-assoziierte Nephropathie
B22;N08.0*;B22;HIV associated;HIV proprietary;HIV associated nephropathy;HIV-assoziierte Nephropathie
B20;G63.0*;B20;HIV associated;HIV proprietary;HIV associated polyneuropathy;HIV-assoziierte Polyneuropathie
B20;H36.8*;B20;HIV associated;HIV proprietary;HIV associated retinopathy;HIV-assoziierte Retinopathie
B23.8;H36.8*;B23.8;HIV associated;HIV proprietary;HIV associated retinopathy;HIV-assoziierte Retinopathie
B20;H32.8*;B20;HIV associated;HIV proprietary;HIV associated retinopathy;HIV-assoziierte Retinopathie
C01;;;HIV associated;Cancer;Malignant neoplasm of base of tongue;Bösartige Neubildung des Zungengrundes
C02.4;;;HIV associated;Cancer;Malignant neoplasm: Lingual tonsil;Bösartige Neubildung einer Zungentonsille
C09.-;;;HIV associated;Cancer;Malignant neoplasm of tonsil, excl. tongue and pharynx;Bösartige Neubildung einer Tonsille, exkl. Zunge und Rachen
C09.0;;;HIV associated;Cancer;Malignant neoplasm of tonsil, excl. tongue and pharynx;Bösartige Neubildung einer Tonsille, exkl. Zunge und Rachen
C09.1;;;HIV associated;Cancer;Malignant neoplasm of tonsil, excl. tongue and pharynx;Bösartige Neubildung einer Tonsille, exkl. Zunge und Rachen
C09.8;;;HIV associated;Cancer;Malignant neoplasm of tonsil, excl. tongue and pharynx;Bösartige Neubildung einer Tonsille, exkl. Zunge und Rachen
C09.9;;;HIV associated;Cancer;Malignant neoplasm of tonsil, excl. tongue and pharynx;Bösartige Neubildung einer Tonsille, exkl. Zunge und Rachen
C10.-;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.0;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.2;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.3;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.4;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.8;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C10.9;;;HIV associated;Cancer;Malignant neoplasm of oropharynx;Bösartige Neubildung des Oropharynx
C14.0;;;HIV associated;Cancer;Malignant neoplasm: Pharynx, unspecified;Bösartige Neubildung des Pharynx
C14.2;;;HIV associated;Cancer;Malignant neoplasm: Waldeyer ring;Bösartige Neubildung des lymphatischen Rachenrings
C20;;;HIV associated;Cancer;Malignant neoplasm of rectum;Bösartige Neubildung des Rektums
C21.-;;;HIV associated;Cancer;Malignant neoplasm of anus and anal canal;Bösartige Neubildung des Anus und des Analkanals
C21.0;;;HIV associated;Cancer;Malignant neoplasm of anus and anal canal;Bösartige Neubildung des Anus und des Analkanals
C21.1;;;HIV associated;Cancer;Malignant neoplasm of anus and anal canal;Bösartige Neubildung des Anus und des Analkanals
C21.2;;;HIV associated;Cancer;Malignant neoplasm of anus and anal canal;Bösartige Neubildung des Anus und des Analkanals
C21.8;;;HIV associated;Cancer;Malignant neoplasm of anus and anal canal;Bösartige Neubildung des Anus und des Analkanals
C22.0;;;HIV associated;Cancer;Liver cell carcinoma;Leberzellkarzinom
C51.-;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C51.0;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C51.1;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C51.2;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C51.8;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C51.9;;;HIV associated;Cancer;Malignant neoplasm of vulva;Bösartige Neubildung der Vulva
C52;;;HIV associated;Cancer;Malignant neoplasm of vagina;Bösartige Neubildung der Vagina
C60.-;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C60.0;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C60.1;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C60.2;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C60.8;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C60.9;;;HIV associated;Cancer;Malignant neoplasm of penis;Bösartige Neubildung des Penis
C81.-;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.0;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.1;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.2;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.3;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.4;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.7;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C81.9;;;HIV associated;Cancer;Hodgkin lymphoma;Hodgkin-Lymphom
C83.7;;B21;AIDS defining;Cancer;Burkitt lymphoma;Burkitt-Lymphom
B37.1;J20.8;B20;AIDS defining;Infection;Candida bronchitis;Candida-Bronchitis
